ID;ROADTYPE;DEFAULT_LANES;DEFAULT_URBAN_SPEED;DEFAULT_RURAL_SPEED;CAPACITY;CONNECTABLE;MAIN_NETWORK
1;motorway;2;130;130;2000;False;True
2;trunk;2;110;110;2000;False;True
3;primary;1;80;50;1500;True;True
4;secondary;1;80;50;800;True;True
5;tertiary;1;80;50;600;True;True
6;unclassified;1;30;30;600;True;False
7;residential;1;30;30;600;True;False
8;motorway_link;1;90;90;1500;False;True
9;trunk_link;1;70;70;1500;False;True
10;primary_link;1;50;30;1500;True;True
11;secondary_link;1;50;30;800;True;True
12;tertiary_link;1;50;30;600;True;True
13;living_street;1;20;20;300;True;False
14;road;1;20;20;300;True;False
15;service;1;20;20;300;True;False
